model,strace_total_syscalls,strace_requests,syscalls_per_req,ctx_vol_delta,ctx_nonvol_delta,ctx_total_delta,ctx_requests,ctx_switches_per_req
iterative,11601,5676,2.044,20643,0,20643,20640,1.000
forking,20309,10000,2.031,30,0,30,60000,0.001
preforked,19447,9012,2.158,300,0,300,24975,0.012
thread-per-conn,20494,10000,2.049,89,0,89,60000,0.001
thread-pool,20467,10000,2.047,25473,2,25475,25332,1.006
poll,40257,10000,4.026,60060,0,60060,60000,1.001
epoll-lt,60282,10000,6.028,60095,0,60095,60000,1.002
epoll-et,40276,10000,4.028,60099,0,60099,60000,1.002
event-loop,40274,10000,4.027,60096,0,60096,60000,1.002
multireactor,41780,10000,4.178,60141,0,60141,60000,1.002
io-uring,20208,10000,2.021,60099,0,60099,60000,1.002
